id,name,price,description,heavy,outputs,type
-1,,,,,,
0,测试物品,100,物品介绍（alt+回车 可以换行）,10,0,
1,盐,45,"方案1:对于烹饪苦手来说，比起调味，如今更常用来溶解结冰的轨道、延缓肉类的腐败。
再补充一些硝酸钙、木炭和硫磺的话，就能给Ruu补充一些老式火药了。-Aki（划掉）
家里柴米油盐来之不易，不许做奇怪的浪费！-1104
方案2:雪白细腻的颗粒晶体，在防腐这项工作中，不如冻结世界的冰雪功能强劲，但胜在泛用。
多收集些吧，无论是溶解结冰的轨道，还是和电力配合提取氢气作为燃料，它都派得上用场。",5,3,
2,泥煤威士忌,80,"方案1:
一瓶琥珀色的液体！
喝吧！喝吧！喝吧！
在雪地里的醉酒狂欢将永远不是错误！
不再会有人出现，来审判你酗酒的罪行了。
嗝～-Ruu
方案2:
一瓶琥珀色的液体。
过去是一种具备成瘾性的饮料，是人类放纵的恶习代表。
但在今天，它只是一瓶小麦饮料。
喝吧，它是你在极寒中带来温暖的朋友，它将使你忘却时间割裂的伤口。
——消除口渴，消除疲劳，消除紧张，消除怨恨，消除记忆。",20,2,
3,营养液,120,"方案1:一管粉红色的粘稠流体，根据说明书来看，一个成年人一天仅需一管这样的液体，就可以满足一日的营养所需。
配料表：
异麦芽低聚糖、麦芽糊精、豌豆蛋白粉、氨基酸混合物、中链甘油三酯、鱼油、维生素A、维生素C、维生素D、维生素E、维生素K、维生素B群、钙、镁、钾、钠、铁、可溶性膳食纤维、辅酶Q10、纯化水。
节省了不必要的料理时间，真是非常高效的发明。-Aki
方案2:一管粉红色的粘稠流体，你无法从它的流动中寻觅到人类文明中烹饪文化留下的丝毫痕迹。
大雪终会吞咽下人类那些繁杂的历史，而你只是暂且幸存。",10,1,
4,香烟,80,方案1:会窸窸窣窣掉下烟丝的手卷烟。,5,2,
5,布料,50,,5,3,
6,工具包,100,,15,1,
7,水（生）,20,,5,4,
8,水（可饮用）,50,,5,3,
9,糖,60,,10,3,
10,安倍切,1,,0,0,
11,电池,120,,15,1,
12,无线电通讯器,200,,30,1,
13,药品,90,,15,1,
15,雨伞,70,,10,2,
16,木板,40,,10,3,
17,玩偶,5,,5,,
